Date,Temperature,Anomaly
1895,29.6,-1.9
1896,28.3,-3.2
1897,29.2,-2.3
1898,33.7,2.2
1899,29.7,-1.8
1900,30.6,-0.9
1901,30.9,-0.6
1902,28.8,-2.7
1903,28.9,-2.6
1904,23.7,-7.8
1905,27,-4.5
1906,36.1,4.6
1907,32.6,1.1
1908,30.7,-0.8
1909,32.2,0.7
1910,29.9,-1.6
1911,34.6,3.1
1912,22.8,-8.7
1913,39.9,8.4
1914,30.6,-0.9
1915,33.5,2
1916,35,3.5
1917,31.9,0.4
1918,20.8,-10.7
1919,34.7,3.2
1920,23,-8.5
1921,32.9,1.4
1922,27.7,-3.8
1923,29.4,-2.1
1924,32.2,0.7
1925,27.6,-3.9
1926,31.1,-0.4
1927,30.1,-1.4
1928,33.1,1.6
1929,31.1,-0.4
1930,32.5,1
1931,31.9,0.4
1932,42.4,10.9
1933,39.5,8
1934,33.8,2.3
1935,28,-3.5
1936,28.5,-3
1937,39.4,7.9
1938,31.3,-0.2
1939,31.4,-0.1
1940,24.1,-7.4
1941,28.6,-2.9
1942,29.9,-1.6
1943,29.9,-1.6
1944,33.1,1.6
1945,24.4,-7.1
1946,33.3,1.8
1947,36.3,4.8
1948,24.6,-6.9
1949,37.8,6.3
1950,40.8,9.3
1951,35.6,4.1
1952,35.3,3.8
1953,36.8,5.3
1954,30,-1.5
1955,30.1,-1.4
1956,31.4,-0.1
1957,27.9,-3.6
1958,31.2,-0.3
1959,30.6,-0.9
1960,33.2,1.7
1961,26.5,-5
1962,31,-0.5
1963,29.5,-2
1964,35,3.5
1965,29,-2.5
1966,31.3,-0.2
1967,36.4,4.9
1968,25.8,-5.7
1969,30.9,-0.6
1970,24.2,-7.3
1971,26,-5.5
1972,34.4,2.9
1973,34.9,3.4
1974,34.6,3.1
1975,36.7,5.2
1976,27,-4.5
1977,21.8,-9.7
1978,28,-3.5
1979,31.6,0.1
1980,32.4,0.9
1981,25.2,-6.3
1982,25.1,-6.4
1983,33.5,2
1984,29.1,-2.4
1985,28.1,-3.4
1986,33.4,1.9
1987,32,0.5
1988,29.2,-2.3
1989,37,5.5
1990,41,9.5
1991,34.5,3
1992,35.4,3.9
1993,36,4.5
1994,25.2,-6.3
1995,37.2,5.7
1996,31,-0.5
1997,32.6,1.1
1998,40.5,9
1999,34.4,2.9
2000,31.7,0.2
2001,34.1,2.6
2002,40.4,8.9
2003,28,-3.5
2004,25.2,-6.3
2005,31.8,0.3
2006,41.4,9.9
2007,37.9,6.4
2008,37,5.5
2009,28.4,-3.1
2010,33,1.5
2011,30.2,-1.3
2012,37.8,6.3
2013,35.6,4.1
2014,28.7,-2.8
2015,30,-1.5
2016,34.5,3
2017,38.1,6.6
2018,31.8,0.3
