Date,Value,Anomaly
189501,29.6,-1.9
189601,28.3,-3.2
189701,29.2,-2.3
189801,33.7,2.2
189901,29.7,-1.8
190001,30.6,-0.9
190101,30.9,-0.6
190201,28.8,-2.7
190301,28.9,-2.6
190401,23.7,-7.8
190501,27,-4.5
190601,36.1,4.6
190701,32.6,1.1
190801,30.7,-0.8
190901,32.2,0.7
191001,29.9,-1.6
191101,34.6,3.1
191201,22.8,-8.7
191301,39.9,8.4
191401,30.6,-0.9
191501,33.5,2
191601,35,3.5
191701,31.9,0.4
191801,20.8,-10.7
191901,34.7,3.2
192001,23,-8.5
192101,32.9,1.4
192201,27.7,-3.8
192301,29.4,-2.1
192401,32.2,0.7
192501,27.6,-3.9
192601,31.1,-0.4
192701,30.1,-1.4
192801,33.1,1.6
192901,31.1,-0.4
193001,32.5,1
193101,31.9,0.4
193201,42.4,10.9
193301,39.5,8
193401,33.8,2.3
193501,28,-3.5
193601,28.5,-3
193701,39.4,7.9
193801,31.3,-0.2
193901,31.4,-0.1
194001,24.1,-7.4
194101,28.6,-2.9
194201,29.9,-1.6
194301,29.9,-1.6
194401,33.1,1.6
194501,24.4,-7.1
194601,33.3,1.8
194701,36.3,4.8
194801,24.6,-6.9
194901,37.8,6.3
195001,40.8,9.3
195101,35.6,4.1
195201,35.3,3.8
195301,36.8,5.3
195401,30,-1.5
195501,30.1,-1.4
195601,31.4,-0.1
195701,27.9,-3.6
195801,31.2,-0.3
195901,30.6,-0.9
196001,33.2,1.7
196101,26.5,-5
196201,31,-0.5
196301,29.5,-2
196401,35,3.5
196501,29,-2.5
196601,31.3,-0.2
196701,36.4,4.9
196801,25.8,-5.7
196901,30.9,-0.6
197001,24.2,-7.3
197101,26,-5.5
197201,34.4,2.9
197301,34.9,3.4
197401,34.6,3.1
197501,36.7,5.2
197601,27,-4.5
197701,21.8,-9.7
197801,28,-3.5
197901,31.6,0.1
198001,32.4,0.9
198101,25.2,-6.3
198201,25.1,-6.4
198301,33.5,2
198401,29.1,-2.4
198501,28.1,-3.4
198601,33.4,1.9
198701,32,0.5
198801,29.2,-2.3
198901,37,5.5
199001,41,9.5
199101,34.5,3
199201,35.4,3.9
199301,36,4.5
199401,25.2,-6.3
199501,37.2,5.7
199601,31,-0.5
199701,32.6,1.1
199801,40.5,9
199901,34.4,2.9
200001,31.7,0.2
200101,34.1,2.6
200201,40.4,8.9
200301,28,-3.5
200401,25.2,-6.3
200501,31.8,0.3
200601,41.4,9.9
200701,37.9,6.4
200801,37,5.5
200901,28.4,-3.1
201001,33,1.5
201101,30.2,-1.3
201201,37.8,6.3
201301,35.6,4.1
201401,28.7,-2.8
201501,30,-1.5
201601,34.5,3
201701,38.1,6.6
201801,31.8,0.3
